,S11,S21,S31,S12,S22,S32,S13,S23,S33,20_log_of_mag_S11,20_log_of_mag_S21,20_log_of_mag_S31,degrees_S11,degrees_S21,degrees_S31
4.036,(-0.0215695987735651-0.03736286157272507j),(-0.8650758174848956+0.4997825296659998j),(-2.617101508953165e-05-5.559640328169409e-05j),(-0.8650758174848936+0.4997825296659987j),(-0.02159354920857335-0.03734901118658493j),(1.812808704196185e-05+5.832977946002093e-05j),(-2.617101508952182e-05-5.559640328168542e-05j),(1.812808704196205e-05+5.832977946000802e-05j),(0.9847846407471977-0.1737791691503213j),-27.30199718854859,-0.008090851160734961,-84.22981576089107,-119.99786140267194,149.98357185167322,-115.2078745446838
4.037,(-0.02157934276550202-0.03736851439245979j),(-0.8650105753889591+0.4998945969545013j),(-2.623631099442602e-05-5.572071561650264e-05j),(-0.8650105753889569+0.4998945969545j),(-0.02160327029610922-0.03735467275784139j),(1.817429079389126e-05+5.846131687505119e-05j),(-2.623631099441605e-05-5.572071561649392e-05j),(1.81742907938915e-05+5.846131687503814e-05j),(0.9847770968431127-0.1738219136829162j),-27.30003086709565,-0.008094520647058241,-84.21000880042241,-120.00531353354877,149.9761351346403,-115.21357970617053
4.038,(-0.02158908859519687-0.03737416506687j),(-0.8649453184732822+0.5000066560783357j),(-2.630185931691264e-05-5.58454983888339e-05j),(-0.8649453184732803+0.5000066560783346j),(-0.02161299307837388-0.03736033227630808j),(1.822067406931897e-05+5.859335304728089e-05j),(-2.630185931690252e-05-5.584549838882512e-05j),(1.822067406931924e-05+5.85933530472677e-05j),(0.984769550992307-0.1738646584069624j),-27.298065032694836,-0.00809819087655134,-84.1901717994385,-120.01276582834384,149.9686983914742,-115.219284844429
4.039,(-0.02159883626410746-0.03737981359772916j),(-0.8648800467372231+0.5001187070380653j),(-2.636766146789717e-05-5.597075421970664e-05j),(-0.8648800467372212+0.5001187070380642j),(-0.0216227175560801-0.03736598974425845j),(1.826723787236109e-05+5.872589075646461e-05j),(-2.636766146788691e-05-5.597075421969783e-05j),(1.82672378723614e-05+5.872589075645127e-05j),(0.9847620031942215-0.1739074033252258j),-27.296099684551116,-0.008101861850236414,-84.17030464830042,-120.02021828767762,149.96126162200142,-115.22498995959016
4.04,(-0.02160858577370762-0.03738545998682699j),(-0.8648147601801267+0.5002307498342715j),(-2.643371886876034e-05-5.609648574958305e-05j),(-0.8648147601801245+0.5002307498342704j),(-0.02163244372995125-0.03737164516398585j),(1.831398321458966e-05+5.885893280297962e-05j),(-2.643371886874993e-05-5.609648574957418e-05j),(1.831398321459001e-05+5.885893280296615e-05j),(0.9847544534482926-0.1739501484404938j),-27.29413482186561,-0.008105533569144304,-84.15040723676272,-120.02767091217567,149.95382482604705,-115.23069505178754
4.041,(-0.02161833712548725-0.03739110423596945j),(-0.8647494588013243+0.5003427844675532j),(-2.650003295145461e-05-5.622269563854809e-05j),(-0.8647494588013223+0.500342784467552j),(-0.02164217160072122-0.03737729853780369j),(1.836091111510144e-05+5.89924820080163e-05j),(-2.650003295144405e-05-5.622269563853917e-05j),(1.836091111510182e-05+5.899248200800266e-05j),(0.9847469017539524-0.1739928937555746j),-27.292170443835637,-0.008109206034317433,-84.13047945396917,-120.03512370246898,149.94638800343498,-115.23640012115708
4.042,(-0.02162809032095256-0.03739674634697902j),(-0.864684142600134+0.5004548109385277j),(-2.656660515860289e-05-5.634938656649259e-05j),(-0.8646841426001319+0.5004548109385266j),(-0.02165190116913462-0.0373829498680456j),(1.840802260058811e-05+5.912654121377208e-05j),(-2.656660515859219e-05-5.634938656648362e-05j),(1.840802260058853e-05+5.912654121375831e-05j),(0.9847393481106282-0.1740356392732978j),-27.29020654965463,-0.008112879246807883,-84.11052118844813,-120.0425766591938,149.93895115398763,-115.24210516783724
4.043,(-0.02163784536162619-0.03740238632169478j),(-0.8646188115758601+0.5005668292478321j),(-2.663343694359824e-05-5.647656123329833e-05j),(-0.8646188115758581+0.500566829247831j),(-0.02166163243594688-0.0373885991570657j),(1.845531870540734e-05+5.926111328364803e-05j),(-2.663343694358739e-05-5.647656123328931e-05j),(1.845531870540779e-05+5.92611132836341e-05j),(0.9847317925177439-0.1740783849965151j),-27.288243138512097,-0.008116553207675457,-84.0905323281078,-120.05002978299186,149.93151427752625,-115.24781019196915
4.044,(-0.02164760224904736-0.03740802416197258j),(-0.8645534657277933+0.5006788393961213j),(-2.670052977070407e-05-5.660422235902381e-05j),(-0.8645534657277913+0.5006788393961203j),(-0.02167136540192429-0.03739424640723869j),(1.8502800471654e-05+5.939620110244567e-05j),(-2.670052977069306e-05-5.660422235901473e-05j),(1.850280047165449e-05+5.939620110243161e-05j),(0.9847242349747182-0.1741211309280998j),-27.286280209593613,-0.00812022791798865,-84.07051276023185,-120.05748307451026,149.92407737387066,-115.25351519369647
4.045,(-0.02165736098477207-0.03741365986968523j),(-0.8644881050552101+0.50079084138407j),(-2.676788511515619e-05-5.67323726840938e-05j),(-0.8644881050552079+0.5007908413840689j),(-0.02168110006784419-0.03739989162096015j),(1.855046894923297e-05+5.953180757656826e-05j),(-2.676788511514504e-05-5.673237268408466e-05j),(1.855046894923351e-05+5.953180757655408e-05j),(0.984716675480966-0.1741638770709474j),-27.28431776208074,-0.00812390337883043,-84.05046237147458,-120.06493653440167,149.91664044283934,-115.25922017316543
